record_id|council_name|source_document|section_num|chiefdom|constituency|sn|project_name|village|ward|chiefdom_in_row|resources|priority|sub_item|source_page|category|sector|project_name_short
11|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|8|Construction of Schools, Literacy Centres and Upgrading of Schools|Selected villages|All Wards|Kalindawalo||8|Crushed stones|76|IDP_PROJECTS|Education|Construction of Schools, Literacy Centres and Upgrading of Schools
12|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|8|Construction of Schools, Literacy Centres and Upgrading of Schools|Selected villages|All Wards|Kalindawalo||8|River/Building Sand|76|IDP_PROJECTS|Education|Construction of Schools, Literacy Centres and Upgrading of Schools
13|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|10|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|One site per ward|All Wards|Kalindawalo||10|Unskilled Labour|76|IDP_PROJECTS|Agriculture|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).
14|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|10|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|One site per ward|All Wards|Kalindawalo||10|Crushed stones|76|IDP_PROJECTS|Agriculture|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).
15|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|10|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|One site per ward|All Wards|Kalindawalo||10|River/Building Sand|76|IDP_PROJECTS|Agriculture|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).
16|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|11|Construction of Skills Training Centres|One site|Mbala|Kalindawalo||11||76|IDP_PROJECTS|Education|Construction of Skills Training Centres
17|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|1|Rehabilitation/Construction of Roads & Culverts|All Gazetted Roads Petauke/Mumbi - Nyalukomba/Minga Stop Mumbi/Chikumba Mumbi/Mung’ongo Malowe/Mnyeche Mung’ongo/Kasonde Madzi/Ngoli Minga/Mungomba Minga/Kanjoka Chisoyo/Mumbi||||Mumbi||76|IDP_PROJECTS|Roads|Rehabilitation/Construction of Roads & Culverts
18|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)|Molika, Mumbi, Mng’ong’o, Kamelavapya, Njemi, Milimbo, Kaluba, Kasonde, Fulu|All Wards|||Land|Streams|77|IDP_PROJECTS|Agriculture|Construction/Rehabilitation of Dams (irrigation Schemes)
19|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)|Molika, Mumbi, Mng’ong’o, Kamelavapya, Njemi, Milimbo, Kaluba, Kasonde, Fulu|All Wards|||Land|Unskilled Labour|77|IDP_PROJECTS|Agriculture|Construction/Rehabilitation of Dams (irrigation Schemes)
20|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)|Molika, Mumbi, Mng’ong’o, Kamelavapya, Njemi, Milimbo, Kaluba, Kasonde, Fulu|All Wards|||Land|Crushed stones|77|IDP_PROJECTS|Agriculture|Construction/Rehabilitation of Dams (irrigation Schemes)
21|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)|Molika, Mumbi, Mng’ong’o, Kamelavapya, Njemi, Milimbo, Kaluba, Kasonde, Fulu|All Wards|||Land|River/Building Sand|77|IDP_PROJECTS|Agriculture|Construction/Rehabilitation of Dams (irrigation Schemes)
22|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)|Molika, Mumbi, Mng’ong’o, Kamelavapya, Njemi, Milimbo, Kaluba, Kasonde, Fulu|All Wards|||Land|Defunct dams|77|IDP_PROJECTS|Agriculture|Construction/Rehabilitation of Dams (irrigation Schemes)
