sn|disease|cases|incidence_rate|source_page
1|Respiratory infections|51, 309|181|15
2|Malaria conrmed cases|41, 419|173|15
3|Muscular skeleton & connective tissues|10, 745|38|15
4|Digestive systems|7, 046|25|15
5|Diarrhea non blood|6, 152|22|15
6|Pyrexia of unknown origin (PUO)|3, 895|14|15
7|Trauma, other injuries & wounds|2, 547|9|15
8|Skin diseases not infectious|2, 473|9|15
9|dental carries|1, 666|6|15
10|Throat diseases|1, 509|5|15
