0|1|2|3|5|7|source_page|4|6
"1
2
3
5
6
7
8
10
11
12
13
15
16
17
18"|"Constituency Development
Local Governance
Integrated Development Planning
Public Health and Environmental Protection
Housing and Community Amenities
Recreation Culture and Religion
Education and Skills Development
Public Order and Safety
Management and Support Services
Resource Mobilisation and Management
District Health servcies
Transport Services
Agricultural Services
Fisheries and Livestock
Social Protection and Community Development"|(0)|"61,271,284
2,158,395
3,036,889
1,526,280
6,830,947
352,670
529,179
1,885,994
11,567,213
1,720,000
6,823,697
3,742,847
-
235,976
-"|||6|"72,116,301
2,928,596
2,932,734
7,086,866
5,700,616
317,844
440,456
3,415,588
11,462,064
387,534
6,819,199
3,200,587
524,367
486,160
36,839,086"|
||(0)||||6||
||(0)||||6||
||(0)||||6||
||(0)||||6||
||(0)||||6||
||(0)||||6||
||(0)||||6||
||(0)||||6||
||(0)||||6||
||(0)||||6||
||(0)||||6||
||(0)||||6||
||(0)||||6||
||(0)||||6||
|Head Total|(0)|101,681,371|||6|154,658,000|
PROGRAMME/SUB-PROGRAMME|2023 BUDGET||2024 BUDGET|2025 BUDGET||7||
|Approved|"Expendit
ure"|Approved|Estimate||7|"Expendit
ure*"|
1||||||7||
Head Total||(0)|(0)|(0)||8|101,681,371|154,658,000
ECONOMIC CLASSIFICATION|2023 BUDGET|||2024 BUDGET|2025 BUDGET|11||
|Approved|"Expendit
ure"||Approved|Estimates|11||"Expendit
ure*"
"02Use of Goods and Services
02General Operations
02Engineering
03Transfers
02Subsidies
04Assets
01Non-Financial Assets (Capital Expenditure)
02Financial Assets"|"-
-
-
-
-
-
-
-"|"-
-
-
-
-
-
-
-"||3,063,564|"9,834,141
9,834,141
6,556,027
17,438,933
17,438,933
44,843,227
37,369,356
7,473,871"|11||-
||||3,063,564||11||-
||||-||11||-
||||16,298,162||11||-
||||16,298,162||11||-
||||41,909,558||11||-
||||34,924,632||11||-
||||6,984,926||11||-
Programme Total|(0)|(0)||61,271,284|72,116,301|11||(0)
PROGRAMME/SUBPROGRAMME|2023 BUDGET||2024 BUDGET|2025 BUDGET||12||
|Approved|"Expendit
ure"|Approved|Estimates||12|"Expendit
ure*"|
Programme Total|(0)|(0)|61,271,28|(0)||12|4|7722,1,11166,3,30011
Key Output and Output Indicator|2023||2024|2025||13||
|Target|Actual|Target|Target||13|Actual*|
"Community Projects implemented
01 Number of earth moving equipment procured
02 Number of classrooms blocks constructed
03 Number of staff houses constructed in schools
04 Number of ablution blocks constructed in schools
05 Number of staff houses constructed at health posts
06 Number of health posts installed with solar powered systems
07 Number of ablution blocks with a shower room constructed in health posts
08 Number of health posts furnished with medical equipment
09 Number of maternity annexes constructed
10 Number of boreholes drilled and equipped
11 Number of agricultural camp houses constructed
12 Number of community facilities equipped with power and water system"|"-
-
-
-
-
-
-
-
-
-
-
-"|"-
-
-
-
-
-
-
-
-
-
-
-"|"-
-
-
-
-
-
-
-
-
-
-
-"|"1
13
6
1
21
21
21
21
1
4
2
1"||13|"-
-
-
-
-
-
-
-
-
-
-
-"|
"Roads rehabilitated using fuel allocation
01 Kilometers of roads rehabilitated using fuel allocation"|-|-|-|100||13|-|
"Community projects branded
01 Number of community projects branded"|-|-|-|49||13|-|
"Weekly CDF radio shows held
01 Number of weekly CDF Radio shows held"|-|-|-|52||13|-|
"CDF News letters produced
01 CDF News letters produced bi-annually"|-|-|-|2||13|-|
"Secondary Boarding and Skills Development Bursaries Supported
01 Number of secondary boarding bursary learners supported
02 Number of skills development bursary students supported"|"-
-"|"-
-"|"650
700"|"700
400"||13|"543
351"|
ECONOMIC CLASSIFICATION|2023 BUDGET|||||15|2024 BUDGET|2025 BUDGET
|Approved|"Expendit
ure"||"Expendit
ure*"||15|Approved|Estimates
"01Personal Emoluments
01Salaries and Wages
03Personnel Related Costs
02Use of Goods and Services
02General Operations
01Socio-Economic"|"-
-
-
-
-
-"|"-
-
-
-
-
-"||-||15|1,377,381|"2,591,306
1,439,306
1,152,000
337,290
337,290
37,000"
||||-||15|225,381|
||||-||15|1,152,000|
||||-||15|781,014|
||||-||15|781,014|
||||-||15|507,234|
Programme Total|(0)|(0)||(0)||15|2,158,395|2,928,596
PROGRAMME/SUBPROGRAMME|2023 BUDGET||2024 BUDGET|||15||2025 BUDGET
|Approved|"Expendit
ure"|Approved|"Expendit
ure*"||15||Estimates
"2 Local Governance
044Legislative Function
045Citizen Engagement"|"(0)
(0)
(0)"|"(0)
(0)"|"2,158,395
1,651,161
507,234"|"(0)
(0)"||15||"2,928,596
2,891,596
37,000"
Programme Total|(0)|(0)|2,158,39|(0)||15|5|2,29,2982,85,95696
Key Output and Output Indicator|2023||2024|2025||16||
|Target|Actual|Target|Target||16|Actual*|
"Council Meetings conducted.
01 Number of Ordinary Council meetings held
02 Number of Special Council meetings conducted
03 Number of Standing Committee meetings held"|"-
-
-"|"-
-
-"|"4
1
16"|"4
1
16"||16|"3
-
13"|
"Community engagement meetings held
01 Number of community engagement meetings held"|-|-|12|10||16|26|
ECONOMIC CLASSIFICATION|2023 BUDGET|||2024 BUDGET|2025 BUDGET|17||
|Approved|"Expendit
ure"||Approved|Estimates|17||"Expendit
ure*"
"01Personal Emoluments
01Salaries and Wages
01Socio-Economic
02Use of Goods and Services
02General Operations
01Environmental Planning
01Socio-Economic
02Surveying
03Town Planning
04Assets
01Non-Financial Assets (Capital Expenditure)"|"-
-
-
-
-
-
-
-
-
-
-"|"-
-
-
-
-
-
-
-
-
-
-"||2,336,062|"1,917,741
1,917,741
672,447
999,993
999,993
24,670
775,060
70,453
129,810
15,000
15,000"|17||-
||||2,336,062||17||-
||||498,410||17||-
||||646,827||17||-
||||646,827||17||-
||||81,521||17||-
||||157,060||17||-
||||97,224||17||-
||||311,022||17||-
||||54,000||17||-
||||54,000||17||-
Programme Total|(0)|(0)||3,036,889|2,932,734|17||(0)
PROGRAMME/SUBPROGRAMME|2023 BUDGET||2024 BUDGET|||18||2025 BUDGET
|Approved|"Expendit
ure"|Approved|"Expendit
ure*"||18||Estimates
