perspective|category|labour_force|persons_in_employment|persons_in_unemployment|potential_labour_force|source_page
International Perspective|Total|3,398,294|2,971,169|427,125||13
International Perspective|Male|2,041,306|1,797,957|243,349||13
International Perspective|Female|1,356,988|1,173,212|183,776||13
Local Perspective|Total|5,049,059|2,971,169|427,125|1,650,764|13
Local Perspective|Male|2,759,098|1,797,957|243,349|717,792|13
Local Perspective|Female|2,289,961|1,173,212|183,776|932,972|13
