sn|category|code|revenue_item|approved_budget_2026|revised_budget_2027|budget_estimate_2028|source_page
1|National Support (Grants)|002|Roads Grant|6351370|6351370|6351370|3
2|National Support (Grants)|003|Health Grant|7201706|7201706|7201706|3
3|National Support (Grants)|004|Local Government Equalisation Fund|11967775|11967775|11967775|3
4|National Support (Grants)|005|Grants in lieu of Rates|800000|800000|800000|3
5|National Support (Grants)|099|Other Grants|16763610|16763610|16763610|3
6|Donor Support (Grants)|001|Devolution Capital Grant|8340000|8340000|8340000|4
7|Local Development Fund|001|Constituency Development Fund|80065100|88071610|105685932|4
