sn|category|code|revenue_item|approved_budget_2025|revised_budget_2026|budget_estimate_2027
1|National Support (Grants)|2|Roads Grant|3200587|3200587|3200587
2|National Support (Grants)|3|Health Grant|6819199|6819199|6819199
3|National Support (Grants)|4|Local Government Equalisation Fund|11967769|11967769|11967769
4|National Support (Grants)|5|Grants in lieu of Rates|600000|600000|600000
5|National Support (Grants)|99|Other Grants|46476698|46476698|46476698
6|Local Development Fund|1|Constituency Development Fund|72116301|95193518|
