section_num|chiefdom|constituency|sn|project_name|village|ward|chiefdom_in_row|resources|priority|sub_item|source_page
3.3.2.2|Mumbi|Petauke Central Constituency|5|Construction of Health Centres|Mondola Chisoyo Ching’ombe|Ongolwe||Land – 5 hectares Unskilled Labour Crushed stones River/Building Sand|Land – 5 hectares|River/Building Sand|77
3.3.2.2|Mumbi|Petauke Central Constituency|6|Construction of police posts|Mumbi HQs||Ongolwe||Land|Unskilled Labour|77
3.3.2.2|Mumbi|Petauke Central Constituency|6|Construction of police posts|Mumbi HQs||Ongolwe||Land|Minga Stop|77
3.3.2.2|Mumbi|Petauke Central Constituency|6|Construction of police posts|Mumbi HQs||Ongolwe||Land|Msumbazi|77
3.3.2.2|Mumbi|Petauke Central Constituency|6|Construction of police posts|Mumbi HQs||Ongolwe||Land|Crushed stones|77
3.3.2.2|Mumbi|Petauke Central Constituency|6|Construction of police posts|Mumbi HQs||Ongolwe||Land|River/Building Sand|77
3.3.2.2|Mumbi|Petauke Central Constituency|7|Construction of Agriculture Staff Houses (Extension Services Enhancement)|M’nyeche||Msumbazi||Land|Unskilled Labour|77
3.3.2.2|Mumbi|Petauke Central Constituency|7|Construction of Agriculture Staff Houses (Extension Services Enhancement)|M’nyeche||Msumbazi||Land|Mumbi B|77
3.3.2.2|Mumbi|Petauke Central Constituency|7|Construction of Agriculture Staff Houses (Extension Services Enhancement)|M’nyeche||Msumbazi||Land|Ongolwe|77
3.3.2.2|Mumbi|Petauke Central Constituency|7|Construction of Agriculture Staff Houses (Extension Services Enhancement)|M’nyeche||Msumbazi||Land|Crushed stones|77
3.3.2.2|Mumbi|Petauke Central Constituency|7|Construction of Agriculture Staff Houses (Extension Services Enhancement)|M’nyeche||Msumbazi||Land|River/Building Sand|77
3.3.2.2|Mumbi|Petauke Central Constituency|9|Construction of Storage Sheds.|Mondola|||Land Unskilled Labour Crushed stones River/Building Sand|9|Mumbi|78
3.3.2.2|Mumbi|Petauke Central Constituency|9|Construction of Storage Sheds.|Mondola|||Land Unskilled Labour Crushed stones River/Building Sand|9|Chumbe|78
3.3.2.2|Mumbi|Petauke Central Constituency|9|Construction of Storage Sheds.|Mondola|||Land Unskilled Labour Crushed stones River/Building Sand|9|Mng’omba|78
3.3.2.2|Mumbi|Petauke Central Constituency|9|Construction of Storage Sheds.|Mondola|||Land Unskilled Labour Crushed stones River/Building Sand|9|Msumbazi|78
3.3.2.2|Mumbi|Petauke Central Constituency|9|Construction of Storage Sheds.|Mondola|||Land Unskilled Labour Crushed stones River/Building Sand|9|Minga Stop|78
3.3.2.2|Mumbi|Petauke Central Constituency|9|Construction of Storage Sheds.|Mondola|||Land Unskilled Labour Crushed stones River/Building Sand|9|Mtumbata|78
3.3.2.2|Mumbi|Petauke Central Constituency|10|Construction of Skills Training Centres|Mumbi|||Land Unskilled Labour Crushed stones River/Building Sand|10|Minga Stop|78
3.3.2.2|Mumbi|Petauke Central Constituency|10|Construction of Skills Training Centres|Mumbi|||Land Unskilled Labour Crushed stones River/Building Sand|10|Msumbazi|78
