sn|council|code|classification|budget_year|amount_zmw
1|Petauke Town Council|21|Personal Emoluments|2024|18634039
2|Petauke Town Council|22|Goods and Services|2024|15841398
3|Petauke Town Council|27|Subsidies to Non-Financial Enterprises|2024|16298162
4|Petauke Town Council|31|Non-Financial Assets|2024|43367347
5|Petauke Town Council|32|Financial Assets|2024|6984926
6|Petauke Town Council|41|Current Liabilities (Payable within one year)|2024|555500
