record_id|council_name|source_document|section_num|chiefdom|constituency|sn|project_name|village|ward|chiefdom_in_row|resources|priority|sub_item|source_page
102|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|4|Creation of Community Forests|Misolo, Mkonda, Chonjo, Malengo, Katonda, Lupinda, Mwanza, Kapyela, Matonga, Milembo, Mwandindi|AllWards|N ya m ph an de||4|d|85
103|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|4|Creation of Community Forests|Misolo, Mkonda, Chonjo, Malengo, Katonda, Lupinda, Mwanza, Kapyela, Matonga, Milembo, Mwandindi|AllWards|N ya m ph an de||4|Labo|85
104|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|4|Creation of Community Forests|Misolo, Mkonda, Chonjo, Malengo, Katonda, Lupinda, Mwanza, Kapyela, Matonga, Milembo, Mwandindi|AllWards|N ya m ph an de||4|ur|85
105|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|5|Livestock Multiplication Centre/ Dip tanks|Chikuse, Nyamphande, Chivumbo Section, Nsenya|AllWards|N ya m ph an de||5|– 10|85
106|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|5|Livestock Multiplication Centre/ Dip tanks|Chikuse, Nyamphande, Chivumbo Section, Nsenya|AllWards|N ya m ph an de||5|hect|85
107|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|5|Livestock Multiplication Centre/ Dip tanks|Chikuse, Nyamphande, Chivumbo Section, Nsenya|AllWards|N ya m ph an de||5|ares|85
108|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|5|Livestock Multiplication Centre/ Dip tanks|Chikuse, Nyamphande, Chivumbo Section, Nsenya|AllWards|N ya m ph an de||5|Uns|85
109|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|5|Livestock Multiplication Centre/ Dip tanks|Chikuse, Nyamphande, Chivumbo Section, Nsenya|AllWards|N ya m ph an de||5|kille|85
110|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|5|Livestock Multiplication Centre/ Dip tanks|Chikuse, Nyamphande, Chivumbo Section, Nsenya|AllWards|N ya m ph an de||5|d|85
111|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|5|Livestock Multiplication Centre/ Dip tanks|Chikuse, Nyamphande, Chivumbo Section, Nsenya|AllWards|N ya m ph an de||5|Labo|85
112|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|6|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|Nsenya, Chilandu, Nyamphande, Mwambula|AllWards||||Uns|86
113|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|6|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|Nsenya, Chilandu, Nyamphande, Mwambula|AllWards||||kille|86
114|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|6|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|Nsenya, Chilandu, Nyamphande, Mwambula|AllWards||||d|86
115|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|6|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|Nsenya, Chilandu, Nyamphande, Mwambula|AllWards||||Labo|86
116|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|6|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|Nsenya, Chilandu, Nyamphande, Mwambula|AllWards||||ur|86
117|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|6|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|Nsenya, Chilandu, Nyamphande, Mwambula|AllWards||||Crus|86
118|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|6|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|Nsenya, Chilandu, Nyamphande, Mwambula|AllWards||||hed|86
119|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|6|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|Nsenya, Chilandu, Nyamphande, Mwambula|AllWards||||ston|86
120|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|6|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|Nsenya, Chilandu, Nyamphande, Mwambula|AllWards||||es|86
121|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|6|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|Nsenya, Chilandu, Nyamphande, Mwambula|AllWards||||Rive|86
122|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|6|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|Nsenya, Chilandu, Nyamphande, Mwambula|AllWards||||r/Bui|86
123|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|6|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|Nsenya, Chilandu, Nyamphande, Mwambula|AllWards||||lding|86
124|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|6|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|Nsenya, Chilandu, Nyamphande, Mwambula|AllWards||||Sand|86
125|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|7|Creation of Farm Plantations (Orchards, Banana, Garlic, etc...)|Chiwa, Malengo, Nathan,Kawanga||A|N||ll|86
126|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|7|Creation of Farm Plantations (Orchards, Banana, Garlic, etc...)|Chiwa, Malengo, Nathan,Kawanga||A|N||ya|86
127|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|7|Creation of Farm Plantations (Orchards, Banana, Garlic, etc...)|Chiwa, Malengo, Nathan,Kawanga||A|N||Labo|86
128|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|7|Creation of Farm Plantations (Orchards, Banana, Garlic, etc...)|Chiwa, Malengo, Nathan,Kawanga||A|N||W|86
129|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|7|Creation of Farm Plantations (Orchards, Banana, Garlic, etc...)|Chiwa, Malengo, Nathan,Kawanga||A|N||m|86
130|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|7|Creation of Farm Plantations (Orchards, Banana, Garlic, etc...)|Chiwa, Malengo, Nathan,Kawanga||A|N||ur|86
131|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|7|Creation of Farm Plantations (Orchards, Banana, Garlic, etc...)|Chiwa, Malengo, Nathan,Kawanga||A|N||ar|86
132|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|7|Creation of Farm Plantations (Orchards, Banana, Garlic, etc...)|Chiwa, Malengo, Nathan,Kawanga||A|N||ph|86
133|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|7|Creation of Farm Plantations (Orchards, Banana, Garlic, etc...)|Chiwa, Malengo, Nathan,Kawanga||A|N||Strea|86
134|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|7|Creation of Farm Plantations (Orchards, Banana, Garlic, etc...)|Chiwa, Malengo, Nathan,Kawanga||A|N||d|86
135|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|7|Creation of Farm Plantations (Orchards, Banana, Garlic, etc...)|Chiwa, Malengo, Nathan,Kawanga||A|N||an|86
136|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|7|Creation of Farm Plantations (Orchards, Banana, Garlic, etc...)|Chiwa, Malengo, Nathan,Kawanga||A|N||s|86
137|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|7|Creation of Farm Plantations (Orchards, Banana, Garlic, etc...)|Chiwa, Malengo, Nathan,Kawanga||A|N||de|86
138|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|7|Creation of Farm Plantations (Orchards, Banana, Garlic, etc...)|Chiwa, Malengo, Nathan,Kawanga||A|N||ms|86
139|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||ll|86
140|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||ya|86
141|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||Uns|86
142|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||W|86
143|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||m|86
144|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||kille|86
145|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||ar|86
146|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||ph|86
147|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||d|86
148|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||an|86
149|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||Labo|86
150|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||s|86
151|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||de|86
152|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||ur|86
153|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||Crus|86
154|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||hed|86
155|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||ston|86
156|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|8|Construction and Upgrading of Schools and housing|Misolo, Nsamba, Nsenya, Ray, Mkonda, Mwambula, Nyamphondolo, Mwanza, Chipungu, Sasu, Kasuma, Muzenje & Chikuse|AllWards|A|N||es|86
157|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|2|Drilling of solar powered Boreholes.||Kapopo, Chiwole, Samuel|||Sandwe|Chilengu, Chimutowe|89
158|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|2|Drilling of solar powered Boreholes.||Kapopo, Chiwole, Samuel|||Sandwe|Mwelwa, Kasangazi, Lusandwa|89
159|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|2|Drilling of solar powered Boreholes.||Kapopo, Chiwole, Samuel|||Sandwe|Masili, Sopa, Chilongozi|89
160|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|2|Drilling of solar powered Boreholes.||Kapopo, Chiwole, Samuel|||Sandwe|Mwanika, Salazani, Haugen|89
161|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|2|Drilling of solar powered Boreholes.||Kapopo, Chiwole, Samuel|||Sandwe|Sch., Sambila, Mangolo Com.|89
162|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|2|Drilling of solar powered Boreholes.||Kapopo, Chiwole, Samuel|||Sandwe|Sch., Sindikani.|89
163|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|4|Creation of Community Forests|Sandwe, Chiwale, Mileka, Lumbuka, Mwanika, Muchilwa, Chimunda, Nyombwe, Chikapu, Chilongozi, Masili & Matizye||||Sandwe|Existing|89
164|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|4|Creation of Community Forests|Sandwe, Chiwale, Mileka, Lumbuka, Mwanika, Muchilwa, Chimunda, Nyombwe, Chikapu, Chilongozi, Masili & Matizye||||Sandwe|unprotected|89
165|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|4|Creation of Community Forests|Sandwe, Chiwale, Mileka, Lumbuka, Mwanika, Muchilwa, Chimunda, Nyombwe, Chikapu, Chilongozi, Masili & Matizye||||Sandwe|forests|89
166|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|4|Creation of Community Forests|Sandwe, Chiwale, Mileka, Lumbuka, Mwanika, Muchilwa, Chimunda, Nyombwe, Chikapu, Chilongozi, Masili & Matizye||||Sandwe|Unskilled|89
167|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|4|Creation of Community Forests|Sandwe, Chiwale, Mileka, Lumbuka, Mwanika, Muchilwa, Chimunda, Nyombwe, Chikapu, Chilongozi, Masili & Matizye||||Sandwe|Labour|89
168|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|6|Bee – Keeping Production|Mwelwa, Chiwole, Mulira, Chilengu, Chikapu, Chilongozi, Masili & Matizye||||Sandwe|Unskilled|89
169|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|6|Bee – Keeping Production|Mwelwa, Chiwole, Mulira, Chilengu, Chikapu, Chilongozi, Masili & Matizye||||Sandwe|Labour|89
170|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|6|Bee – Keeping Production|Mwelwa, Chiwole, Mulira, Chilengu, Chikapu, Chilongozi, Masili & Matizye||||Sandwe|Small Forests|89
171|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|7|Construction of Dip-Tank /|Mwelwa, Chilengu, Chinkhuni||||Sandwe||89
172|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|2||||||||89
173|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|8|Food and fruit Processing / Value Addition|Ukwimi||||Abundant|agriculture|90
174|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|8|Food and fruit Processing / Value Addition|Ukwimi||||Abundant|produces|90
175|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|8|Food and fruit Processing / Value Addition|Ukwimi||||Abundant|Land|90
176|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|10|Solar Lighting||Chiwale|||Human|Mudonsa|90
177|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|10|Solar Lighting||Chiwale|||Human|Resource|90
178|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|10|Solar Lighting||Chiwale|||Human|Songovwa|90
179|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|10|Solar Lighting||Chiwale|||Human|Land|90
180|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|10|Solar Lighting||Chiwale|||Human|Masili|90
181|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|10|Solar Lighting||Chiwale|||Human|Houses/Villages|90
182|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|12|Construction of Market|Sandwe||||Bricks, Sand|Labour|90
183|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|14|Construction/Rehabilitation of Dams (irrigation Schemes)|Kachewere Mzumwa Sopa||||Land|Streams|90
184|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|14|Construction/Rehabilitation of Dams (irrigation Schemes)|Kachewere Mzumwa Sopa||||Land|Unskilled|90
185|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|14|Construction/Rehabilitation of Dams (irrigation Schemes)|Kachewere Mzumwa Sopa||||Land|Labour|90
186|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|14|Construction/Rehabilitation of Dams (irrigation Schemes)|Kachewere Mzumwa Sopa||||Land|Crushed stones|90
187|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|14|Construction/Rehabilitation of Dams (irrigation Schemes)|Kachewere Mzumwa Sopa||||Land|River/Building|90
188|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|14|Construction/Rehabilitation of Dams (irrigation Schemes)|Kachewere Mzumwa Sopa||||Land|Sand|90
189|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|14|Construction/Rehabilitation of Dams (irrigation Schemes)|Kachewere Mzumwa Sopa||||Land|Defunct dams|90
190|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.5|Sandwe|Msanzala Constituency|10||||||||90
