record_id|council_name|source_document|section_num|chiefdom|constituency|sn|project_name|village|ward|chiefdom_in_row|resources|priority|sub_item|source_page
59|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|Unskilled Labour|81
60|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|Crushed stones|81
61|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|River/Building Sand|81
62|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|Burnt Bricks Land|81
63|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|Stones|81
64|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|Gravel|81
65|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|8|Creation of Community Forests|Sanjama, Julius, Mazombwe, Sing’omba, Mulindang’ombe, Chitelele, Makwinza|All wards|Mwanjawanthu||8|Existing unprotected|81
66|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|8|Creation of Community Forests|Sanjama, Julius, Mazombwe, Sing’omba, Mulindang’ombe, Chitelele, Makwinza|All wards|Mwanjawanthu||8|forests in some wards|81
67|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|8|Creation of Community Forests|Sanjama, Julius, Mazombwe, Sing’omba, Mulindang’ombe, Chitelele, Makwinza|All wards|Mwanjawanthu||8|Unskilled Labour|81
68|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|10|Construction of Staff Houses, Schools /Upgrading of Schools|Various schools|All the wards.|Mwanjawanthu||10|Unskilled Labour|82
69|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|10|Construction of Staff Houses, Schools /Upgrading of Schools|Various schools|All the wards.|Mwanjawanthu||10|Crushed stones|82
70|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|10|Construction of Staff Houses, Schools /Upgrading of Schools|Various schools|All the wards.|Mwanjawanthu||10|River/Building Sand|82
71|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|10|Construction of Staff Houses, Schools /Upgrading of Schools|Various schools|All the wards.|Mwanjawanthu||10|Burnt Bricks|82
72|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|12|Construction of Storage Sheds.|Various|all wards|Mwanjawanthu||12|Unskilled Labour|82
73|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|12|Construction of Storage Sheds.|Various|all wards|Mwanjawanthu||12|Crushed stones|82
74|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|12|Construction of Storage Sheds.|Various|all wards|Mwanjawanthu||12|River/Building Sand|82
75|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|13|Construction of Skills Training Centres|Kaumbwe|Kaumbwe|Mwanjawanthu||13||82
76|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|Uns|85
77|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|kille|85
78|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|d|85
79|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|Labo|85
80|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|ur|85
81|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|Crus|85
82|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|hed|85
