project_id|project_name|project_description|sector|project_type|province|district|constituency|ward|project_site|amount_requested_zmw|approved_amount_zmw|effective_amount_zmw|amount_category|has_amount|year_funded|status|comments|source_file
KPR-22|Staff Houses|Staff Houses|Education|Construction of Staff Houses|Muchinga|Kaumbwe|Kaumbwe|Kanyanga|Mwambezi Primary School|520530.0||520530.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-23|Classroom Block|1x3 Classroom Block|Education|Construction of a 1x3 Classroom Block|Muchinga|Kaumbwe|Kaumbwe|Kanyanga|Mwambezi|514650.0||514650.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-24|Classroom Block|1x3 Classroom Block|Education|Construction of a 1x3 Classroom Block|Muchinga|Kaumbwe|Kaumbwe|Kanyanga|Nyakutwa Primary School|1200000.0||1200000.0|High (>1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-25|Dormitory|Girls Dormitory|Education|Construction of a Girls Dormitory|Muchinga|Kaumbwe|Kaumbwe|Kanyanga|Mwambezi Primary School|184470.0||184470.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-26|Ablution Block|Ablution Block|Education|Construction of Ablution Blocks and Water Borne Sanitation System for Girls and Boys|Muchinga|Kaumbwe|Kaumbwe|Manyane|Mankhungwe Primary School|900000.0||900000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-27|Dam|Dam|Water and Sanitation|Construction of a Dam|Muchinga|Kaumbwe|Kaumbwe|Manyane|Mankhungwe, Matonje|2500000.0||2500000.0|High (>1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-28|Staff Houses|2 Staff Houses|Health|Construction of 2 Staff Houses|Muchinga|Kaumbwe|Kaumbwe|Manyane|Mankhungwe Health Post|1000000.0||1000000.0|High (>1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-29|School|School|Education|Construction of a School|Muchinga|Kaumbwe|Kaumbwe|Manyane|Mankhungwe Health Post|855650.0||855650.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-30|Borehole|Borehole|Water and Sanitation|Borehole Drilling|Muchinga|Kaumbwe|Kaumbwe|Manyane|Nyakumwa|3000.0||3000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-31|Borehole|Borehole|Water and Sanitation|Borehole Drilling|Muchinga|Kaumbwe|Kaumbwe|Manyane|Chimtenje|50000.0||50000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-32|Borehole|Borehole|Water and Sanitation|Drilling of a Borehole|Muchinga|Kaumbwe|Kaumbwe|Manyane|Malipa Village|30000.0||30000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-33|Borehole|Borehole|Water and Sanitation|Drilling of a Borehole|Muchinga|Kaumbwe|Kaumbwe|Manyane|Changa Village|80000.0||80000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-34|Water|Water|Water and Sanitation|Access to Safe Drinking Water|Muchinga|Kaumbwe|Kaumbwe|Manyane|Mulinda Village|50000.0||50000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-35|Water|Water|Water and Sanitation|Access to Safe Drinking Water|Muchinga|Kaumbwe|Kaumbwe|Manyane|Nthambalika|50000.0||50000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-36|Borehole|Borehole|Water and Sanitation|Borehole Drilling|Muchinga|Kaumbwe|Kaumbwe|Manyane|Abram Village|50000.0||50000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-37|Borehole|Borehole|Water and Sanitation|Drilling of a Borehole|Muchinga|Kaumbwe|Kaumbwe|Manyane|Nyamilongo Village|50000.0||50000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
