sn|council|indicator_group|indicator|metric|year|value
1|Petauke Town Council|Community Projects implemented|Community Projects implemented|target|2024|1
2|Petauke Town Council|Community Projects implemented|01 Number of earth moving equipment procured|target|2024|13
3|Petauke Town Council|Community Projects implemented|02 Number of classrooms blocks constructed|target|2024|6
4|Petauke Town Council|Community Projects implemented|03 Number of staff houses constructed in schools|target|2024|1
5|Petauke Town Council|Community Projects implemented|04 Number of ablution blocks constructed in schools|target|2024|21
6|Petauke Town Council|Community Projects implemented|05 Number of staff houses constructed at health posts|target|2024|21
7|Petauke Town Council|Community Projects implemented|06 Number of health posts installed with solar powered systems|target|2024|21
8|Petauke Town Council|Community Projects implemented|07 Number of ablution blocks with a shower room constructed in health posts|target|2024|21
9|Petauke Town Council|Community Projects implemented|08 Number of health posts furnished with medical equipment|target|2024|1
10|Petauke Town Council|Community Projects implemented|09 Number of maternity annexes constructed|target|2024|4
11|Petauke Town Council|Community Projects implemented|10 Number of boreholes drilled and equipped|target|2024|2
12|Petauke Town Council|Community Projects implemented|11 Number of agricultural camp houses constructed|target|2024|1
13|Petauke Town Council|Roads rehabilitated using fuel allocation|Roads rehabilitated using fuel allocation|target|2024|100
14|Petauke Town Council|Community projects branded|Community projects branded|target|2024|49
15|Petauke Town Council|Weekly CDF radio shows held|Weekly CDF radio shows held|target|2024|52
16|Petauke Town Council|CDF News letters produced|CDF News letters produced|target|2024|2
17|Petauke Town Council|Secondary Boarding and Skills Development Bursaries Supported|Secondary Boarding and Skills Development Bursaries Supported|target|2024|700
18|Petauke Town Council|Secondary Boarding and Skills Development Bursaries Supported|01 Number of secondary boarding bursary learners supported|target|2024|400
19|Petauke Town Council|Council Meetings conducted.|Council Meetings conducted.|target|2024|4
20|Petauke Town Council|Council Meetings conducted.|01 Number of Ordinary Council meetings held|target|2024|1
21|Petauke Town Council|Council Meetings conducted.|02 Number of Special Council meetings conducted|target|2024|16
22|Petauke Town Council|Community engagement meetings held|Community engagement meetings held|target|2024|10
23|Petauke Town Council|Environmental compliance inspections conducted|Environmental compliance inspections conducted|target|2024|4
24|Petauke Town Council|Environmental compliance inspections conducted|01 Number of environmental compliance inspections conducted|target|2024|100
25|Petauke Town Council|Planning permission granted|Planning permission granted|target|2024|100
