sn|council|budget_year|category|item_code|revenue_item|budget_type|amount_zmw|source_file
312|Petauke Town Council|2026|Permits|007|Nursery, pre-school permits|approved|10000|2026_budget
313|Petauke Town Council|2026|Permits|007|Nursery, pre-school permits|revised|11000|2026_budget
314|Petauke Town Council|2026|Permits|007|Nursery, pre-school permits|estimate|13200|2026_budget
315|Petauke Town Council|2026|Permits|008|Burial permits and grave sites|approved|18750|2026_budget
316|Petauke Town Council|2026|Permits|008|Burial permits and grave sites|revised|20625|2026_budget
317|Petauke Town Council|2026|Permits|008|Burial permits and grave sites|estimate|24750|2026_budget
318|Petauke Town Council|2026|Permits|009|Fire certificate|approved|872480|2026_budget
319|Petauke Town Council|2026|Permits|009|Fire certificate|revised|959728|2026_budget
320|Petauke Town Council|2026|Permits|009|Fire certificate|estimate|1134224|2026_budget
321|Petauke Town Council|2026|Permits|010|Extension of Business hours permits|approved|1000|2026_budget
322|Petauke Town Council|2026|Permits|010|Extension of Business hours permits|revised|1100|2026_budget
323|Petauke Town Council|2026|Permits|010|Extension of Business hours permits|estimate|1320|2026_budget
324|Petauke Town Council|2026|Permits|011|Social gathering permit|approved|7500|2026_budget
325|Petauke Town Council|2026|Permits|011|Social gathering permit|revised|8250|2026_budget
326|Petauke Town Council|2026|Permits|011|Social gathering permit|estimate|9900|2026_budget
327|Petauke Town Council|2026|Charges|001|Service Charges Residential plots|approved|900000|2026_budget
328|Petauke Town Council|2026|Charges|001|Service Charges Residential plots|revised|990000|2026_budget
329|Petauke Town Council|2026|Charges|001|Service Charges Residential plots|estimate|1170000|2026_budget
330|Petauke Town Council|2026|Charges|002|Service Charges Industrial plots|approved|300000|2026_budget
331|Petauke Town Council|2026|Charges|002|Service Charges Industrial plots|revised|330000|2026_budget
332|Petauke Town Council|2026|Charges|002|Service Charges Industrial plots|estimate|390000|2026_budget
333|Petauke Town Council|2026|Other Incomes|002|Surplus/ Deficit from Commercial Ventures|approved|1300000|2026_budget
334|Petauke Town Council|2026|Other Incomes|002|Surplus/ Deficit from Commercial Ventures|revised|1430000|2026_budget
335|Petauke Town Council|2026|Other Incomes|002|Surplus/ Deficit from Commercial Ventures|estimate|1690000|2026_budget
336|Petauke Town Council|2026|National Support (Grants)|002|Roads Grant|approved|6351370|2026_budget
337|Petauke Town Council|2026|National Support (Grants)|002|Roads Grant|revised|6351370|2026_budget
338|Petauke Town Council|2026|National Support (Grants)|002|Roads Grant|estimate|6351370|2026_budget
339|Petauke Town Council|2026|National Support (Grants)|003|Health Grant|approved|7201706|2026_budget
340|Petauke Town Council|2026|National Support (Grants)|003|Health Grant|revised|7201706|2026_budget
341|Petauke Town Council|2026|National Support (Grants)|003|Health Grant|estimate|7201706|2026_budget
342|Petauke Town Council|2026|National Support (Grants)|004|Local Government Equalisation Fund|approved|11967775|2026_budget
343|Petauke Town Council|2026|National Support (Grants)|004|Local Government Equalisation Fund|revised|11967775|2026_budget
344|Petauke Town Council|2026|National Support (Grants)|004|Local Government Equalisation Fund|estimate|11967775|2026_budget
345|Petauke Town Council|2026|National Support (Grants)|005|Grants in lieu of Rates|approved|800000|2026_budget
346|Petauke Town Council|2026|National Support (Grants)|005|Grants in lieu of Rates|revised|800000|2026_budget
347|Petauke Town Council|2026|National Support (Grants)|005|Grants in lieu of Rates|estimate|800000|2026_budget
348|Petauke Town Council|2026|National Support (Grants)|099|Other Grants|approved|16763610|2026_budget
349|Petauke Town Council|2026|National Support (Grants)|099|Other Grants|revised|16763610|2026_budget
350|Petauke Town Council|2026|National Support (Grants)|099|Other Grants|estimate|16763610|2026_budget
351|Petauke Town Council|2026|Donor Support (Grants)|001|Devolution Capital Grant|approved|8340000|2026_budget
352|Petauke Town Council|2026|Donor Support (Grants)|001|Devolution Capital Grant|revised|8340000|2026_budget
353|Petauke Town Council|2026|Donor Support (Grants)|001|Devolution Capital Grant|estimate|8340000|2026_budget
354|Petauke Town Council|2026|Local Development Fund|001|Constituency Development Fund|approved|80065100|2026_budget
355|Petauke Town Council|2026|Local Development Fund|001|Constituency Development Fund|revised|88071610|2026_budget
356|Petauke Town Council|2026|Local Development Fund|001|Constituency Development Fund|estimate|105685932|2026_budget
