No.,Project Name,Project Description,Sector,Type of Project,Constituency,Ward,Project Site/Location,Project Amount Requested,COMMENTS
39,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Kaumbwe,Chimulamba Village,"30,000",Funds were not adequate for all projects to be approved
40,Classroom Block,1x1 Classroom Block,Education,Construction of 1 Classroom for Early Childhood,Kaumbwe,Kaumbwe,Wankhala Primary School,"150,000",Funds were not adequate for all projects to be approved
41,Staff Houses,4 Staff Houses,Education,Construction of 4 Staff Houses,Kaumbwe,Kaumbwe,,"1,200,000",Funds were not adequate for all projects to be approved
42,Staff Houses,5 Staff Houses,Education,Renovation of 5 Staff Houses,Kaumbwe,Kaumbwe,Zumaire Primary School,"755,622",Funds were not adequate for all projects to be approved
43,Roofing,Roofing Sheets,,Roofing Materials of a Shed,Kaumbwe,Kaumbwe,Nyalingu Community Shed,NIL,Funds were not adequate for all projects to be approved
44,Staff Houses,Staff Houses,Education,Rehabilitation of Staff Houses,Kaumbwe,Kaumbwe,Nyalingu Community,"250,000",Funds were not adequate for all projects to be approved
45,Mother's Waiting Shelter,Mother's waiting Shelter,Health,Construction of a Mother's Waiting Shelter,Kaumbwe,Kaumbwe,Kaumbwe Mini Hospital,"800,000",Funds were not adequate for all projects to be approved
46,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Kaumbwe,Zuwa Village,"40,000",Funds were not adequate for all projects to be approved
47,Water,Water,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Kaumbwe,Sinyanga Village,"50,000",Funds were not adequate for all projects to be approved
48,Water,Water,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Kaumbwe,Nyamanja Village,"280,000",Funds were not adequate for all projects to be approved
49,Staff Houses and Early Childhood Classroom Block,Staff Houses and Early Childhood Classroom Block,Education,Construction of Staff Houses and Early Childhood Classroom Block,Kaumbwe,Kaumbwe,Mbaza Primary School,"500,000",Funds were not adequate for all projects to be approved
50,Sub Clinic,Sub Clinic,Health,Construction of a Sub Clinic,Kaumbwe,Kaumbwe,Mbaza Primary School,"500,000",Funds were not adequate for all projects to be approved
51,Road and Bridge,Road and Bridge,Education,Construction of Road and Bridge,Kaumbwe,Kaumbwe,Mbaza Primary School,"500,000",Funds were not adequate for all projects to be approved
52,Classroom Block,Classroom Block,Education,Completion of a Classroom Block,Kaumbwe,Kaumbwe,Mwanjabanthu Day Secondary,"1,500,000",Funds were not adequate for all projects to be approved
53,Health Equipment,Health Equipment,Health,Purchase of Health Equipment,Kaumbwe,Kaumbwe,Kaumbwe Min Hospital,"800,000",Funds were not adequate for all projects to be approved
54,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Kaumbwe,Mwenda Village,"40,000",Funds were not adequate for all projects to be approved
55,Water,Water Borne,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Manyane,Nyanema Village,"50,000",Funds were not adequate for all projects to be approved
56,Water,Water,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Manyane,Nyanoka,"45,000",Funds were not adequate for all projects to be approved
57,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Manyane,Kapinde Village,"50,000",Funds were not adequate for all projects to be approved
58,Modern Out-patient Department,Modern Out-patient Department,Health,Construction of a Modern Out-patient Department,Kaumbwe,Manjazi,Manyane Health Centre,"990,000",Funds were not adequate for all projects to be approved
59,Staff Houses,Staff Houses,Health,Construction of Staff Houses,Kaumbwe,Manjazi,Manyane Health Centre,"600,000",Funds were not adequate for all projects to be approved
60,Staff House and Toilet,Staff House and Toilet,Fisheries and Livestock,Construction and rehabilitation of a Staff House and Toilet,Kaumbwe,Manjazi,Manyane Settlement,"250,000",Funds were not adequate for all projects to be approved
